code,title,department_code,active,compulsory,semester,category,start_year,finish_year,credits,branch,type,class_work_marks,mid_sem_marks,final_marks,total_marks,lecture_part,tutorial_part,practical_part
AMS2320,Numerical Methods & Optimization,AM,TRUE,TRUE,4,BS,2017,NULL,4,ME,T,15,25,60,100,3,1,0
AMS2410,Higher Mathematics,AM,TRUE,TRUE,3,BS,2017,NULL,4,KE,T,15,25,60,100,3,1,0
AMS2420,Applied Numerical Methods,AM,TRUE,TRUE,4,BS,2017,NULL,4,PK,T,15,25,60,100,3,1,0
AMS2510,Higher Mathematics - I,AM,TRUE,TRUE,3,BS,2017,NULL,4,LE,T,15,25,60,100,3,1,0
AMS2520,Higher Mathematics - II,AM,TRUE,TRUE,3,BS,2017,NULL,4,LE,T,15,25,60,100,3,1,0
AMS2610,Higher Mathematics,AM,TRUE,TRUE,3,BS,2017,NULL,4,PE,T,15,25,60,100,3,1,0
AMS2620,"Numerical Analysis, Transforms and Probability",AM,TRUE,TRUE,4,BS,2017,NULL,4,PE,T,15,25,60,100,3,1,0
AMS2630,Discrete Structures,AM,TRUE,TRUE,4,BS,2017,NULL,4,PE,T,15,25,60,100,3,1,0
AP101,Applied Physics-I,AP,FALSE,TRUE,1,BS,2001,2010,3,FY,T,15,25,60,100,3,1,0
AP102,Applied Physics-II,AP,FALSE,TRUE,2,BS,2001,2010,3,FY,T,15,25,60,100,3,1,0
AP103,Applied Physics,AP,FALSE,TRUE,1,BS,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AP111,Applied Physics,AP,FALSE,TRUE,0,BS,2011,2016,4,FY,T,15,25,60,100,3,1,0
AP191,Applied Physics Lab-I,AP,FALSE,TRUE,1,BS,2001,2010,1,FY,P,60,NULL,40,100,0,1,2
AP192,Applied Physics Lab-II,AP,FALSE,TRUE,2,BS,2001,2010,1,FY,P,60,NULL,40,100,0,1,2
AP193,Applied Physics Lab,AP,FALSE,TRUE,1,BS,2001,2010,1,AR,P,60,40,NULL,100,3,1,0
AP194,Applied Physics Lab,AP,FALSE,TRUE,0,BS,2011,2016,2,FY,P,60,0,40,100,0,1,2
AP204,Electromagnetics,AP,FALSE,TRUE,4,ESA,2011,2016,4,LE,T,15,25,60,100,3,1,0
AP304,Bio-physics,AP,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AP304D,Bio-physics,AP,FALSE,FALSE,5,DE,2001,2010,4,KE,T,15,25,60,100,3,1,0
AP308,Engg. Materials & Material Science,AP,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AP309,Nano-physics & Nano-technology-I,AP,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AP407,Nuclear Chemical Engg.,AP,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AP410,Nano-physics & Nano-technology-II,AP,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AP411,Indust. Physics: Emerging Technol.,AP,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
APS1110,Applied Physics,AP,TRUE,TRUE,0,BS,2017,NULL,4,FY,T,15,25,60,100,3,1,0
APS1910,Applied Physics Lab,AP,TRUE,TRUE,0,BS,2017,NULL,1.5,FY,P,60,0,40,100,0,0,3
APS2050,Electrical Engineering Materials,AP,TRUE,TRUE,3,BS,2017,NULL,3,NULL,T,15,25,60,100,2,1,0
AR101,Principles of Architecture,AR,FALSE,TRUE,1,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR102,Construction & Materials-I,AR,FALSE,TRUE,2,DC,2001,2016,4,AR,T,40,20,40,100,3,1,0
AR103,Architectural Drawing-I,AR,FALSE,TRUE,1,DC,2001,2016,4,AR,T,40,20,40,100,3,1,0
AR104,Arts & Graphics-I,AR,FALSE,TRUE,2,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR105,Design Philosophy,AR,FALSE,TRUE,2,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR106,Arts & Graphics,AR,FALSE,TRUE,2,DC,2011,2016,3,AR,T,40,20,40,100,3,1,0
AR111,Basic Design,AR,FALSE,TRUE,2,DC,2001,2010,4.5,AR,T,40,60,NULL,100,3,1,0
AR112,Principles & Philosophy of Architecture,AR,FALSE,TRUE,1,DC,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR113,Architectural Drawing-II,AR,FALSE,TRUE,2,DC,2011,2016,6,AR,T,40,20,40,100,3,1,0
AR151,Basic Design,AR,FALSE,TRUE,2,DC,2011,2016,4,AR,T,50,10,40,100,3,1,0
AR201,Climatology,AR,FALSE,TRUE,3,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR202,Design With Climate,AR,FALSE,TRUE,4,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR203,Construction & Materials-II,AR,FALSE,TRUE,3,DC,2001,2016,5,AR,T,40,20,40,100,3,1,0
AR204,Construction & Materials-III,AR,FALSE,TRUE,4,DC,2001,2016,5,AR,T,40,20,40,100,3,1,0
AR205,Architectural Drawing-II,AR,FALSE,TRUE,3,DC,2001,2010,4,AR,T,40,60,NULL,100,3,1,0
AR206,Architectural Drawing-III,AR,FALSE,TRUE,4,DC,2001,2010,4,AR,T,40,60,NULL,100,3,1,0
AR207,Arts & Graphics-II,AR,FALSE,TRUE,3,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR208,Arts & Graphics-III,AR,FALSE,TRUE,4,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR209,Ancient Archit.(Indian & Far East),AR,FALSE,TRUE,3,DC,2001,2016,3,AR,T,15,25,60,100,3,1,0
AR210,Pre-modern/western Architecture,AR,FALSE,TRUE,4,DC,2001,2016,3,AR,T,15,25,60,100,3,1,0
AR211,Climate and Design,AR,FALSE,TRUE,3,DC,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR212,Building Bye Laws & Regulations,AR,FALSE,TRUE,4,DC,2011,2016,3,AR,T,15,25,60,100,3,1,0
AR217,Water Supply & Sanitation,AR,FALSE,TRUE,3,DC,2011,2016,3,AR,T,15,25,60,100,3,1,0
AR251,Architectural Design-I,AR,FALSE,TRUE,3,DC,2001,2010,8,AR,T,40,60,NULL,100,3,1,0
AR251N,Architectural Design-I,AR,FALSE,TRUE,3,DC,2011,2016,7,AR,T,50,10,40,100,3,1,0
AR252,Architectural Design-II,AR,FALSE,TRUE,4,DC,2001,2010,8,AR,T,40,60,NULL,100,3,1,0
AR252N,Architecture Design-II,AR,FALSE,TRUE,4,DC,2011,2016,7,AR,T,50,10,40,100,3,1,0
AR291,Cadd,AR,FALSE,TRUE,3,DC,2001,2010,2,AR,P,60,40,NULL,100,3,1,0
AR291N,CADD,AR,FALSE,TRUE,3,DC,2011,2016,3,AR,P,60,0,40,100,3,1,0
AR292,Building Study,AR,FALSE,TRUE,4,DC,2011,2016,2,AR,P,60,0,40,100,3,1,0
AR293,Model Making,AR,FALSE,TRUE,3,DC,2001,2010,1.5,AR,P,60,40,NULL,100,3,1,0
AR293N,Model Making & Photography,AR,FALSE,TRUE,3,DC,2011,2016,2,AR,P,60,0,40,100,3,1,0
AR301,Islamic Architecture,AR,FALSE,TRUE,5,DC,2001,2016,3,AR,T,15,25,60,100,3,1,0
AR302,Town Planning,AR,FALSE,TRUE,6,DC,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR303,Landscape Design,AR,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AR303N,Landscape Design,AR,FALSE,TRUE,5,DC,2011,2016,3,AR,T,40,20,40,100,3,1,0
AR304,Building By-laws,AR,FALSE,TRUE,6,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR305,"Specification,Estimating & Costing",AR,FALSE,TRUE,5,DC,2001,2010,4,AR,T,40,60,NULL,100,3,1,0
AR306,Building Services (Elect. & Mech.),AR,FALSE,TRUE,6,DC,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR307,Water Supply & Sanitation,AR,FALSE,TRUE,5,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR308,Construction & Materials-IV,AR,FALSE,TRUE,6,DC,2001,2010,6,AR,T,40,60,NULL,100,3,1,0
AR308N,Construction & Materials IV,AR,FALSE,TRUE,6,DC,2011,2016,5,AR,T,40,20,40,100,3,1,0
AR315,Introduction To Interior Design,AR,FALSE,TRUE,5,DC,2011,2016,3,AR,T,40,20,40,100,3,1,0
AR351,Architectural Design-III,AR,FALSE,TRUE,5,DC,2001,2010,8,AR,T,40,60,NULL,100,3,1,0
AR351N,Architectural Design III,AR,FALSE,TRUE,5,DC,2011,2016,7,AR,T,60,0,40,100,3,1,0
AR352,Architectural Design-IV,AR,FALSE,TRUE,6,DC,2001,2010,8,AR,T,40,60,NULL,100,3,1,0
AR352N,Architectural Design IV,AR,FALSE,TRUE,6,DC,2011,2016,7,AR,T,50,10,40,100,3,1,0
AR392,Building Study,AR,FALSE,TRUE,6,DC,2001,2010,2,AR,P,60,40,NULL,100,3,1,0
AR394,Working Drawing,AR,FALSE,TRUE,6,DC,2011,2016,2,AR,P,60,0,40,100,3,1,0
AR401,Interior Design,AR,TRUE,FALSE,5,OE,2001,NULL,4,OE,T,15,25,60,100,3,1,0
AR402,Modern & Contemporary Archit.,AR,FALSE,TRUE,8,DC,2001,2016,3,AR,T,15,25,60,100,3,1,0
AR403,Construction & Materials-V,AR,FALSE,TRUE,7,DC,2001,2010,6,AR,T,40,60,NULL,100,3,1,0
AR403N,Construction & Materials V,AR,FALSE,TRUE,7,DC,2011,2016,5,AR,T,40,20,40,100,3,1,0
AR404,Urban & Rural Planning,AR,FALSE,TRUE,8,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR404N,Urban & Rural Planning,AR,FALSE,TRUE,8,DC,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR405N,Town Planning,AR,FALSE,TRUE,7,DC,2007,2010,4,AR,T,40,60,NULL,100,3,1,0
AR406,Valuation & Arbitration,AR,FALSE,TRUE,8,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR408,Building Economics,AR,FALSE,TRUE,8,DC,2001,2010,2,AR,T,40,60,NULL,100,3,1,0
AR410,Construction & Materials-VI,AR,FALSE,TRUE,8,DC,2001,2010,6,AR,T,40,60,NULL,100,3,1,0
AR412,Building Const. Management & Economics,AR,FALSE,TRUE,8,HM,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR415,"Estimating, Costing & Specification",AR,FALSE,TRUE,7,DC,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR451,Architectural Design-V,AR,FALSE,TRUE,7,DC,2001,2010,8,AR,T,40,60,NULL,100,3,1,0
AR451N,Architectural Design V,AR,FALSE,TRUE,7,DC,2011,2016,7,AR,T,50,10,40,100,3,1,0
AR452,Architectural Design-VI,AR,FALSE,TRUE,8,DC,2001,2010,8,AR,T,40,60,NULL,100,3,1,0
AR452N,Architectural Design VI,AR,FALSE,TRUE,8,DC,2011,2016,7,AR,T,50,10,40,100,3,1,0
AR491,Summer Training,AR,FALSE,TRUE,7,DC,2001,2016,2,AR,P,0,0,100,100,3,1,0
AR493,Working Drawing,AR,FALSE,TRUE,7,DC,2001,2010,2,AR,P,60,40,NULL,100,3,1,0
AR501,Professional Practices,AR,FALSE,TRUE,9,DC,2001,2010,3,AR,T,40,60,NULL,100,3,1,0
AR503,Advanced Interior Design,AR,FALSE,FALSE,9,DE,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR505,Architectural Acoustics,AR,FALSE,FALSE,9,DE,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR507,Urban Design,AR,FALSE,FALSE,9,DE,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR509,Sustainable Architecture,AR,FALSE,FALSE,9,DE,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR511,Housing & Community Planning,AR,FALSE,FALSE,9,DE,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR513,Architectural Conservation,AR,FALSE,FALSE,9,DE,2001,2016,4,AR,T,15,25,60,100,3,1,0
AR517,"Professional Practice, Valuation & Arbitration",AR,FALSE,FALSE,9,DC,2011,2016,4,AR,T,15,25,60,100,3,1,0
AR551,Design Thesis,AR,FALSE,TRUE,9,DC,2001,2010,20,AR,T,60,40,NULL,100,3,1,0
AR555,Design Thesis,AR,FALSE,TRUE,9,DC,2011,2016,12,AR,T,60,0,40,100,3,1,0
AR592,Professional Training,AR,FALSE,TRUE,10,DC,2001,2016,8,AR,P,0,0,100,100,3,1,0
ARC1010,Principles and Philosophy of Architecture,AR,TRUE,TRUE,1,DC,2017,NULL,4,AR,T,15,25,60,100,3,1,0
ARC1310,Architectural Drawing - I,AR,TRUE,TRUE,1,DC,2017,NULL,5,AR,T,40,20,40,100,1,0,2
ARC1320,Construction and Materials - I,AR,TRUE,TRUE,2,DC,2017,NULL,5,AR,T,40,20,40,100,2,0,2
ARC1340,Architectural Drawing-II,AR,TRUE,TRUE,2,DC,2017,NULL,5,AR,T,40,20,40,100,1,0,0
ARC1360,Arts and Graphics,AR,TRUE,TRUE,2,DC,2017,NULL,4,AR,T,40,20,40,100,2,0,0
ARC1610,Basic Design and Visual Appreciation,AR,TRUE,TRUE,1,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC1620,Architecture Design - I,AR,TRUE,TRUE,2,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC2030,Climate & Design,AR,TRUE,TRUE,3,DC,2017,NULL,4,AR,T,15,25,60,100,3,1,0
ARC2040,Pre-Modern/Western Architecture,AR,TRUE,TRUE,4,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC2050,Building Services I (Water Supply and Sanitation),AR,TRUE,TRUE,3,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC2060,"Building Services II (Electrical, Illumination and Acoustics)",AR,TRUE,TRUE,4,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC2070,Ancient Architecture (Indian and Far East),AR,TRUE,TRUE,3,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC2330,Construction and Materials - II,AR,TRUE,TRUE,3,DC,2017,NULL,5,AR,T,40,20,40,100,1,0,2
ARC2380,Construction and Materials III,AR,TRUE,TRUE,4,DC,2017,NULL,5,AR,T,40,20,40,100,1,0,2
ARC2630,Architecture Design - II,AR,TRUE,TRUE,3,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC2640,Architecture Design - III,AR,TRUE,TRUE,4,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC2910,Model Making & Photography,AR,TRUE,TRUE,3,DC,2017,NULL,2,AR,P,60,0,40,100,1,0,2
ARC2930,Computer Application in Architecture I,AR,TRUE,TRUE,3,DC,2017,NULL,2,AR,P,60,0,40,100,1,0,2
ARC2940,Computer Application in Architecture II,AR,TRUE,TRUE,4,DC,2017,NULL,2,AR,T,60,0,40,100,1,0,2
ARC3080,Town Planning,AR,TRUE,TRUE,6,DC,2017,NULL,4,AR,T,15,25,60,100,2,0,0
ARC3090,Building Bye Laws & Regulations,AR,TRUE,TRUE,5,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC3110,Islamic Architecture,AR,TRUE,TRUE,5,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC3130,Specification Estimating & Costing,AR,TRUE,TRUE,5,DC,2017,NULL,4,AR,T,15,25,60,100,3,1,0
ARC3150,Building Services III (Mechanical),AR,TRUE,TRUE,5,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC3400,Construction & Materials - IV,AR,TRUE,TRUE,6,DC,2017,NULL,5,AR,T,40,20,40,100,1,0,2
ARC3420,Interior Design,AR,TRUE,TRUE,6,DC,2017,NULL,4,AR,T,40,20,40,100,2,0,0
ARC3650,Architectural Design - IV,AR,TRUE,TRUE,5,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC3660,Architectural Design - V,AR,TRUE,TRUE,6,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC3950,Building Study,AR,TRUE,TRUE,5,DC,2017,NULL,2,AR,T,60,0,40,100,1,0,2
ARC3960,Working Drawing,AR,TRUE,TRUE,6,DC,2017,NULL,2,AR,P,60,0,40,100,1,0,2
ARC4170,Modern & Contemporary Architecture,AR,TRUE,TRUE,7,DC,2017,NULL,3,AR,T,15,25,60,100,2,1,0
ARC4180,Urban Design,AR,TRUE,TRUE,8,DC,2017,NULL,4,AR,T,15,25,60,100,3,1,0
ARC4430,Construction & Materials - V,AR,TRUE,TRUE,7,DC,2017,NULL,5,AR,T,40,20,40,100,1,0,2
ARC4450,Landscape Design,AR,TRUE,TRUE,7,DC,2017,NULL,4,AR,T,40,20,40,100,2,0,0
ARC4670,Architectural Design - VI,AR,TRUE,TRUE,7,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC4680,Architectural Design - VII,AR,TRUE,TRUE,8,DC,2017,NULL,7,AR,T,50,10,40,100,1,0,2
ARC4810,Professional Training - I,AR,TRUE,TRUE,7,DC,2017,NULL,2,AR,P,0,0,100,100,0,0,0
ARC4980,Dissertation*,AR,TRUE,TRUE,8,DC,2017,NULL,2,AR,P,60,0,40,100,0,0,0
ARC5190,"Professional Practice, Valuation and Arbitration",AR,TRUE,TRUE,9,DC,2017,NULL,4,AR,T,15,25,60,100,3,1,0
ARC5300,Design Thesis#,AR,TRUE,TRUE,9,DC,2017,NULL,15,AR,P,60,0,40,100,0,0,0
ARH1020,Man Society & Buildings,AR,TRUE,TRUE,2,HM,2017,NULL,2,AR,T,15,25,60,100,2,0,0
ARH4200,Building Construction Management & Economics,AR,TRUE,TRUE,8,HM,2017,NULL,4,AR,T,15,25,60,100,3,1,0
CE101,Strength of Materials,CE,FALSE,TRUE,2,ESA,2001,2010,4,FY,T,15,25,60,100,3,1,0
CE111,Environmental Studies,CE,FALSE,TRUE,0,ESA,2011,2016,4,FY,T,15,25,60,100,3,1,0
CE212,Civil Engineering Materials,CE,FALSE,TRUE,3,DC,2001,2014,4,CE,T,15,25,60,100,3,1,0
CE213,Fluid Mechanics,CE,FALSE,TRUE,3,ESA,2001,2016,4,CE,T,15,25,60,100,3,1,0
CE214,Water Supply and Treatment,CE,FALSE,TRUE,4,DC,2015,2016,4,CE,T,15,25,60,100,3,1,0
CE214N,Environmental Science,CE,FALSE,TRUE,3,ESA,2005,2010,4,CE,T,15,25,60,100,3,1,0
CE215,Engineering Geology,CE,FALSE,TRUE,3,ESA,2001,2016,4,CE,T,15,25,60,100,3,1,0
CE216,Structural Mechanics,CE,FALSE,TRUE,4,DC,2001,2016,4,CE,T,15,25,60,100,3,1,0
CE217,Construction Practice,CE,FALSE,TRUE,4,DC,2001,2014,4,CE,T,15,25,60,100,3,1,0
CE218,Surveying-I,CE,FALSE,TRUE,4,DC,2001,2010,4,CE,T,15,25,60,100,3,1,0
CE218R,Surveying,CE,FALSE,TRUE,4,DC,2011,2016,4,CE,T,15,25,60,100,3,1,0
CE219,Hydrology,CE,FALSE,TRUE,4,DC,2001,2016,4,CE,T,15,25,60,100,3,1,0
CE220,Quantity Survey,CE,FALSE,TRUE,3,DC,2011,2016,4,CE,T,15,25,60,100,3,1,0
CE221,Civil Engg. Materials & Construction Practice,CE,FALSE,TRUE,3,DC,2015,2016,4,CE,T,15,25,60,100,3,1,0
CE286R,Engg. Geology Camp,CE,FALSE,TRUE,4,ESA,2011,2016,1,CE,P,60,0,40,100,0,0,0
CE291N,Civil Engg. Materials Lab,CE,FALSE,TRUE,3,DC,2005,2010,1.5,CE,P,60,NULL,40,100,0,1,2
CE291R,Civil Engg. Materials Lab,CE,FALSE,TRUE,3,DC,2011,2016,2,CE,P,60,0,40,100,0,1,2
CE292,Fluid Mechanics Lab,CE,FALSE,TRUE,3,DC,2001,2010,1.5,CE,P,60,NULL,40,100,0,1,2
CE292R,Fluid Mechanics Lab,CE,FALSE,TRUE,3,DC,2011,2016,2,CE,P,60,0,40,100,0,1,2
CE293N,Engineering Geology Lab,CE,FALSE,TRUE,3,ESA,2005,2010,1,CE,P,60,NULL,40,100,0,1,2
CE293R,Engineering Geology Lab,CE,FALSE,TRUE,3,ESA,2011,2016,2,CE,P,60,0,40,100,0,1,2
CE294,Structural Mechanics Lab,CE,FALSE,TRUE,4,DC,2001,2010,1.5,CE,P,60,NULL,40,100,0,1,2
CE294R,Structural Mechanics Lab,CE,FALSE,TRUE,4,DC,2011,2016,2,CE,P,60,0,40,100,0,1,2
CE295,Surveying Lab-I,CE,FALSE,TRUE,4,DC,2001,2010,1.5,CE,P,60,NULL,40,100,0,1,2
CE295R,Surveying Lab,CE,FALSE,TRUE,4,DC,2011,2016,2,CE,P,60,0,40,100,0,1,2
CE296N,Engg. Geology Camp,CE,FALSE,TRUE,4,ESA,2005,2010,1,CE,P,60,NULL,40,100,0,1,2
CE297N,Drawing & Estimating,CE,FALSE,TRUE,3,DC,2005,2010,1.5,CE,P,60,NULL,40,100,0,1,2
CE311,Design of Concrete Structure-I,CE,FALSE,TRUE,5,DC,2001,2016,4,CE,T,15,25,60,100,3,1,0
CE312,Soil Mechanics,CE,FALSE,TRUE,5,DC,2001,2016,4,CE,T,15,25,60,100,3,1,0
CE313,Waste Management,CE,FALSE,TRUE,5,DC,2015,2016,4,CE,T,15,25,60,100,3,1,0
